num_registro,nombre,estado,formulado,titular,composicion,cultivo,agente,dosis_min,dosis_max,unidad_dosis,plazo_seguridad,volumen_caldo,fecha_caducidad
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Olivo,"Negrilla, fumagina, Capnodium elaeophilum",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1333 l/haUso no profesional: 5-13 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Ácaros eriófidos, Eriophyidae",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Araña roja común, Tetranychus spp.",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Vid,"Oídio de la vid, Erysiphe necator",0.25,0.8,%,NO PROCEDE,"Uso profesional: 500-1500 l/haUso no profesional: 5-15 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Judía forrajera,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,Erysiphe spp.,0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,"Ácaros eriófidos, Eriophyidae",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Haba forrajera,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100m2",2027/07/31
11179,MICROTHIOL SPECIAL DISPERSS,Vigente,AZUFRE 80% [WG] P/P,"UPL IBERIA, S.A.",AZUFRE 80.0%,Guisante proteaginoso /forrajero,"Araña roja común, Tetranychus spp.",0.25,0.75,%,NO PROCEDE,"Uso profesional: 500-1000 l/haUso no profesional: 5-10 l/100 m2",2027/07/31
